transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
26,LTO9,BATFISH,2017,7/21/2017,10,NA,0,NA,0,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,12.5,Favites,2,Lobophytum,4,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,15,NA,0,NA,0,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,17.5,Porites,60,NA,0,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,20,Porites,2,NA,0,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,22.5,Favites,4,NA,0,NA,0,NA,0
26,LTO9,BATFISH,2017,7/21/2017,25,NA,0,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,0,NA,0,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,2.5,NA,0,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,5,NA,0,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,7.5,Porites,96,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,10,Lobophytum ,25,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,12.5,Lobophytum ,66,NA,0,NA,0,NA,0
27,LTO8,CAVES,2017,7/24/2017,15,Lobophytum ,11,Porites,17,NA,0,NA,0
